baseline,seed,model_name,pass_at_1,pass_at_4,solution_diversity_ratio,total_flops,total_tokens,capability_retention_score
B0_NTP,42,distilgpt2,0.02694845424540612,0.11493031136883955,0.04235690333369034,98000000000.0,199,0.88
B0_NTP,43,distilgpt2,0.06587480420981406,0.13219563611441776,0.04264673203629246,98000000000.0,199,0.88
B0_NTP,44,distilgpt2,0.041459875298038,0.1300849536891228,0.043267660684586574,98000000000.0,199,0.88
B1_SFT,42,distilgpt2,0.41528022086428795,0.5459665914166296,0.020236612550438217,25000000000.0,50,0.88
B1_SFT,43,distilgpt2,0.38332330668452663,0.5430948680634133,0.01901343962989422,25000000000.0,50,0.88
B1_SFT,44,distilgpt2,0.3587319771794248,0.5461044445659734,0.01947701593796114,25000000000.0,50,0.88
B2_Sequential,42,distilgpt2,0.4141654794403344,0.5795277146775379,0.028288804292488007,75000000000.0,152,0.85
B2_Sequential,43,distilgpt2,0.4202815970946684,0.578491826695445,0.02693216074088017,75000000000.0,152,0.85
B2_Sequential,44,distilgpt2,0.43527160171276924,0.5731918182370953,0.02790433676640709,75000000000.0,152,0.85
B3_EarlyRL,42,distilgpt2,0.354602441690113,0.4636814847652081,0.04625102224597041,76000000000.0,154,0.88
B3_EarlyRL,43,distilgpt2,0.3676101385788412,0.5127197465654546,0.04271356283674807,76000000000.0,154,0.88
B3_EarlyRL,44,distilgpt2,0.350063140190638,0.4655715826644701,0.04901856735228597,76000000000.0,154,0.88
B4_PeriodicRL,42,distilgpt2,0.4180301779528221,0.5782081384717684,0.04414460214631651,76000000000.0,154,0.88
B4_PeriodicRL,43,distilgpt2,0.3770445242340008,0.5302821079794192,0.043493041996922485,76000000000.0,154,0.88
B4_PeriodicRL,44,distilgpt2,0.4039842462951554,0.5348403985098706,0.04160209365176622,76000000000.0,154,0.88
B5_RandomRL,42,distilgpt2,0.4074091323633684,0.5495592113994318,0.04492622889963144,72000000000.0,146,0.88
B5_RandomRL,43,distilgpt2,0.3744973415022999,0.5570061650268701,0.04345110615267378,72000000000.0,146,0.88
B5_RandomRL,44,distilgpt2,0.43885896854999656,0.5150844727485837,0.04516120895102807,72000000000.0,146,0.88
B6_FixedMixture,42,distilgpt2,0.42134122258584444,0.5521805413377815,0.03034221395041565,69000000000.0,140,0.88
B6_FixedMixture,43,distilgpt2,0.41478145004862826,0.5245987484576577,0.032346114575657114,69000000000.0,140,0.88
B6_FixedMixture,44,distilgpt2,0.3884205488621455,0.5385403729150651,0.03032774300502746,69000000000.0,140,0.88
B7_CARLS,42,distilgpt2,0.4536069270431043,0.6369888283567339,0.03613588182634405,61000000000.0,123,0.94
B7_CARLS,43,distilgpt2,0.4832240809468506,0.6271509819531326,0.03402726668554737,61000000000.0,123,0.94
B7_CARLS,44,distilgpt2,0.4667972406201423,0.6166037383527748,0.04125682370132862,61000000000.0,123,0.94
